Test Category,File Path,BLEU Score,ROUGE-L Score,Dev Changed,LLM Changed
OD-Vic,tests_unit_test_producer_avro_key.py_test_avro_producer_produce,0.1302,0.1519,+2 ; -1,+1 ; -1
OD-Vic,tests_test_converter.py_TestConverter_test_to_idna_single,0.066,0.0971,+2 ; -0,+12 ; -0
OD-Vic,tests_test_pack_unpack.py_test_pack_unpack_auth,0.0988,0.3548,+8 ; -8,+2 ; -2
OD-Vic,tests_test_cli.py_test_get_whitespace_name,0.0731,0.0871,+6 ; -4,+13 ; -5
OD-Vic,tests_test_l293d.py_L293DTestCase_test_create_motor_with_force_selection,0.0772,0.1322,+13 ; -0,+30 ; -30
OD-Vic,fooof_tests_objs_test_fit.py_test_fooof_fit_knee,0.1263,0.1631,+21 ; -2,+60 ; -8
OD-Vic,fooof_tests_objs_test_fit.py_test_fooof_fit_nk,0.1508,0.1573,+21 ; -2,+5 ; -5
OD-Vic,osctiny_tests_test_issues.py_TestIssue_test_get,0.6707,0.7941,+1 ; -1,+2 ; -1
OD-Vic,tests_test_datetimes.py_test_time_ns,0.0317,0.0896,+0 ; -1,+14 ; -0
OD-Vic,tests_unit_test.py_test_set_okta_password,0.1708,0.1632,+88 ; -1,+49 ; -20
OD-Vic,tests_test_pack_unpack.py_test_pack_unpack_anon,0.1746,0.3423,+8 ; -8,+5 ; -2
OD-Vic,tests_test_cli.py_test_ls_simple,0.013,0.0548,+6 ; -4,+1 ; -1
OD-Vic,tests_test_datetimes.py_test_min_and_max,0.007,0.0164,+0 ; -1,+55 ; -16
OD-Vic,tests_test_cli.py_test_cd_group,0.1063,0.1487,+6 ; -4,+14 ; -14
OD-Vic,tests_test_datetimes.py_test_nested_context_manager,0.0276,0.0432,+0 ; -1,+5 ; -0
OD-Vic,test_test_laminar.py_test_init_my_lam,0.0778,0.1093,+2 ; -2,+6 ; -2
OD-Vic,tests_test_cli.py_test_dump,0.0547,0.0666,+6 ; -4,+18 ; -1
OD-Vic,tests_test_cli.py_test_cat_star,0.1886,0.2779,+6 ; -4,+11 ; -0
OD-Vic,tests_test_datetimes.py_test_simple_api,0.0095,0.0114,+0 ; -1,+21 ; -30
OD-Vic,tests_test_converter.py_TestConverter_test_to_idna_multiple,0.0625,0.1053,+2 ; -0,+6 ; -0
OD-Vic,cynergy_tests_test_register_multiple.py_test_register_multiple,0.0,0.0127,+95 ; -0,+0 ; -0
OD-Vic,tests_test_converter.py_TestConverter_test_hosts_file_format,0.0717,0.073,+2 ; -0,+10 ; -0
OD-Vic,test_geom.py_test_epsilon,0.0073,0.0974,+31 ; -0,+7 ; -0
OD-Vic,tests_test_indentation_checker.py_IndentationCheckerTestCase_test_rule_with_fix,0.0747,0.0826,+4 ; -4,+20 ; -4
OD-Vic,tests_test_uuid.py_test_uuid1_future,0.0289,0.0769,+0 ; -1,+8 ; -0
OD-Vic,tests_test_cli.py_test_stats,0.1823,0.1762,+6 ; -4,+2 ; -3
OD-Vic,tests_test_py_ev.py_test_reset,0.1154,0.1682,+3 ; -3,+5 ; -2
OD-Vic,tests_test_converter.py_TestConverter_test_to_idna_multiple_urls,0.0569,0.101,+2 ; -0,+6 ; -0
OD-Vic,tests_test_cli.py_test_pdf,0.1615,0.2339,+6 ; -4,+14 ; -0
OD-Vic,tests_test_datetimes.py_test_nested_context_manager_with_tz_offsets,0.0265,0.0625,+0 ; -1,+13 ; -0
OD-Vic,tests_test_alphanum_code.py_test_init_code,0.0001,0.1143,+34 ; -0,+0 ; -0
OD-Vic,tests_test_sized_buffer_backpressure_strategy.py_TestDropBackPressureStrategy_test_on_next_drop_new_message_when_buffer_full,0.0915,0.135,+4 ; -0,+6 ; -0
OD-Vic,tests_test_l293d.py_L293DTestCase_test_pin_numbering_lock,0.082,0.1287,+13 ; -0,+28 ; -36
OD-Vic,tests_test_datetimes.py_test_context_manager,0.0158,0.028,+0 ; -1,+9 ; -19
OD-Vic,tests_test_converter.py_TestConverter_test_commented_line,0.0699,0.1111,+2 ; -0,+7 ; -0
OD-Vic,tests_test_evaluation.py_TestPipeline_test_pipeline_raise_error_on_undeclared_dataframe,0.4243,0.439,+8 ; -0,+2 ; -1
OD-Vic,fs_tests_test_mkdir.py_test_mkdir,0.0757,0.1095,+42 ; -0,+21 ; -0
OD-Vic,tests_test_cli.py_test_ls_star,0.0548,0.0723,+6 ; -4,+20 ; -0
OD-Vic,tests_test_cli.py_test_txt_dump,0.1114,0.1301,+6 ; -4,+10 ; -3
OD-Vic,tests_test_datetimes.py_test_time_localtime,0.0235,0.044,+0 ; -1,+2 ; -7
OD-Vic,test_everything.py_MessageFactoryTestCase_test_format_time_default,0.2381,0.3418,+1 ; -0,+9 ; -0
ID,tests_test_get_model.py,0.1474,0.1705,+3 ; -2,+8 ; -6
OD-Brit,tests_test_hosts.py_TestHost_test_host_addcontact,0.0,0.0338,+32 ; -27,+7 ; -0
OD-Brit,tests_test_redisqueue.py_test_mock_queue_unique,0.1226,0.3174,+66 ; -28,+15 ; -12
OD-Brit,tests_test_basic.py_test_verify_config,0.0017,0.0755,+120 ; -0,+16 ; -0
OD-Brit,tests_autoyaml_test.py_TestEncryptorMethods_test_b_decrypt,0.1684,0.2714,+4 ; -0,+26 ; -23
OD-Brit,tests_test_hosts.py_TestHosts_test_hosts_delete_with_obj,0.0296,0.1246,+32 ; -27,+11 ; -6
OD-Brit,tests_test_command.py_TestCommands_test_command_add,0.1327,0.183,+3 ; -3,+28 ; -17
OD-Brit,tests_test_redisqueue.py_test_mock_queue_get_put_same_task,0.0,0.0946,+66 ; -28,+5 ; -2
OD-Brit,tests_test_hosts.py_TestHost_test_host_settemplate,0.0305,0.1412,+32 ; -27,+21 ; -4
OD-Brit,tests_test_general.py_test_file_data_interactive,0.0046,0.0805,+130 ; -0,+21 ; -1
OD-Brit,tests_autoyaml_test.py_TestAutoyamlMethods_test_b_decrypt_config,0.1636,0.2416,+4 ; -0,+20 ; -25
OD-Brit,tests_test_hosts.py_TestHost_test_host_delmacro,0.0397,0.2615,+32 ; -27,+4 ; -4
OD-Brit,tests_test_hosts.py_TestHosts_test_hosts_not_exist,0.0,0.0337,+32 ; -27,+7 ; -0
OD-Brit,tests_test_hosts.py_TestHosts_test_hosts_add,0.1672,0.2386,+32 ; -27,+206 ; -181
OD-Brit,tests_test_hosts.py_TestHost_test_host_getcontactgroup,0.1793,0.2444,+32 ; -27,+232 ; -45
OD-Brit,tests_test_hosts.py_TestHost_test_host_applytemplate,0.0,0.1032,+32 ; -27,+1 ; -1
OD-Brit,tests_test_hosts.py_TestHost_test_host_addtemplate,0.0,0.0281,+32 ; -27,+9 ; -0
OD-Brit,fooof_tests_objs_test_fit.py_test_fooof_load,0.138,0.1713,+21 ; -2,+51 ; -2
OD-Brit,tests_test_hosts.py_TestHost_test_host_setparam,0.0024,0.0889,+32 ; -27,+12 ; -0
OD-Brit,tests_test_wso.py_test_file_data_interactive,0.0148,0.0708,+150 ; -0,+36 ; -0
OD-Brit,tests_test_build.py_tests_patch___new__,0.0625,0.311,+158 ; -115,+28 ; -39
OD-Brit,tests_test_redisqueue.py_test_mock_queue_put_get,0.2308,0.3436,+66 ; -28,+22 ; -19
OD-Brit,tests_test_hosts.py_TestHost_test_host_getparents,0.1155,0.1884,+32 ; -27,+486 ; -252
OD-Brit,tests_test_hosts.py_TestHost_test_host_deletecontact,0.1729,0.2217,+32 ; -27,+25 ; -16
OD-Brit,tests_test_alphanum_code.py_test_next_code,0.1144,0.1519,+34 ; -0,+25 ; -0
OD-Brit,tests_test_hosts.py_TestHost_test_host_enable,0.0,0.0486,+32 ; -27,+2 ; -0
OD-Brit,tests_test_incremental.py_test_decode_invalid_raising_error_handler[+],0.1559,0.2298,+4 ; -4,+49 ; -31
OD-Brit,tests_test_wso.py_test_file_data_arguments,0.0068,0.0689,+150 ; -0,+29 ; -0
OD-Brit,tests_test_hosts.py_TestHost_test_host_setparent,0.1203,0.2805,+32 ; -27,+12 ; -5
OD-Brit,tests_moyasar_test.py_test_request_should_return_json_object,0.2064,0.2947,+0 ; -1,+2 ; -0
OD-Brit,tests_test_general.py_test_file_data_arguments,0.0,0.0387,+130 ; -0,+10 ; -0
OD-Brit,tests_test_hosts.py_TestHost_test_host_deteletemplate,0.1804,0.2533,+32 ; -27,+163 ; -145
OD-Brit,tests_test_hosts.py_TestHost_test_host_setcontact,0.217,0.3025,+32 ; -27,+16 ; -6
OD-Brit,tests_test_resourcecfg.py_TestResourceCFG_test_resourcecfg_not_exist,0.2219,0.3105,+5 ; -5,+46 ; -25
OD-Brit,tests_test_hosts.py_TestHost_test_host_setinstance,0.1405,0.2112,+32 ; -27,+210 ; -195
OD-Brit,tests_test_command.py_TestCommands_test_command_delete,0.0568,0.0954,+3 ; -3,+106 ; -21
OD-Brit,tests_test_resourcecfg.py_TestResourceCFG_test_resourcecfg_add,0.2737,0.3387,+5 ; -5,+4 ; -12
OD-Brit,tests_test_hosts.py_TestHost_test_host_setmacro,0.0,0.0612,+32 ; -27,+0 ; -2
OD-Brit,tests_test_hosts.py_TestHost_test_host_gethostgroup,0.1712,0.2685,+32 ; -27,+290 ; -204
OD-Brit,Tracker_tests_test_event.py_TestEvent_test_object,0.2184,0.439,+1 ; -1,+5 ; -0
OD-Brit,tests_test_command.py_TestCommands_test_command_list,0.1305,0.1814,+3 ; -3,+35 ; -14
OD-Brit,tests_test_hosts.py_TestHost_test_host_addcontactgroupt,0.0692,0.2851,+32 ; -27,+5 ; -5
OD-Brit,tests_test_hosts.py_TestHost_test_host_deletecontactgroup,0.0001,0.0294,+32 ; -27,+10 ; -0
OD-Brit,easy_dict_tests_test_01_default.py_test_del,0.0381,0.1058,+75 ; -0,+9 ; -5
OD-Brit,tests_test_hosts.py_TestHosts_test_hosts_list,0.0587,0.3003,+32 ; -27,+6 ; -20
OD-Brit,tests_test_resourcecfg.py_TestResourceCFG_test_resourcecfg_get_one,0.1265,0.2003,+5 ; -5,+35 ; -31
OD-Brit,tests_test_hosts.py_TestHost_test_host_gettemplate,0.1059,0.3078,+32 ; -27,+6 ; -8
OD-Brit,tests_test_hosts.py_TestHost_test_host_getcontact,0.3106,0.3426,+32 ; -27,+56 ; -59
OD-Brit,tests_test_hosts.py_TestHosts_test_hosts_delete,0.0016,0.1798,+32 ; -27,+2 ; -2
OD-Brit,tests_test_hosts.py_TestHost_test_host_addparent,0.2467,0.2998,+32 ; -27,+69 ; -22
OD-Brit,tests_test_hosts.py_TestHost_test_host_disable,0.2111,0.258,+32 ; -27,+42 ; -13
OD-Brit,tests_test_resourcecfg.py_TestResourceCFG_test_resourcecfg_delete,0.0726,0.1397,+5 ; -5,+1 ; -9
OD-Brit,test_test_logger.py_TestFishLogging_test_format_03,0.247,0.2579,+6 ; -4,+36 ; -3
OD-Brit,tests_test_hosts.py_TestHost_test_host_getmacro,0.1165,0.3287,+32 ; -27,+6 ; -6
OD-Brit,tests_test_resourcecfg.py_TestResourceCFG_test_resourcecfg_building_line,0.2512,0.368,+5 ; -5,+0 ; -17
OD-Brit,tests_test_hosts.py_TestHost_test_host_deletehostgroup,0.1918,0.2834,+32 ; -27,+19 ; -4
OD-Brit,tests_test_command.py_TestCommands_test_command_setparam,0.0883,0.1188,+3 ; -3,+32 ; -9
OD-Brit,tests_test_api.py_TestFootprint_test_flight_two_way,0.0001,0.1034,+22 ; -0,+0 ; -0
OD-Brit,tests_test_resourcecfg.py_TestResourceCFG_test_resourcecfg_setparam,0.0622,0.1315,+5 ; -5,+11 ; -9
OD-Brit,test_geom.py_test_veceq,0.1048,0.1626,+31 ; -0,+12 ; -0
OD-Brit,tests_test_command.py_TestCommands_test_command_not_exist,0.0812,0.1214,+3 ; -3,+90 ; -30
OD-Brit,tests_test_hosts.py_TestHost_test_host_setcontactgroup,0.0,0.0309,+32 ; -27,+6 ; -0
OD-Brit,tests_basic_tests.py_test_dont_memoize,0.0641,0.1622,+34 ; -2,+10 ; -0
